Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
110001 ALTA FLORESTA D'OESTE;27095;26827;26580;26352;26132;25915;25706;25509;25319;25136;24958;24737;24516;24293;24066;23835;23614;23392;23167;22945;22728;22516
110002 ARIQUEMES;76081;78132;80023;81773;83460;85116;86719;88228;89682;91088;92448;94138;95836;97540;99278;101048;102744;104441;106168;107863;109523;111148
110003 CABIXI;7677;7524;7384;7253;7128;7005;6885;6773;6665;6560;6459;6333;6207;6080;5951;5819;5693;5567;5438;5312;5188;5067
110004 CACOAL;75127;75787;76396;76960;77502;78035;78552;79038;79506;79958;80396;80940;81487;82035;82595;83164;83710;84257;84813;85359;85893;86416
110005 CEREJEIRAS;18593;18446;18311;18186;18066;17948;17833;17725;17622;17521;17424;17303;17182;17060;16936;16810;16689;16567;16444;16323;16204;16088
110006 COLORADO DO OESTE;22356;21938;21553;21196;20853;20516;20189;19882;19585;19299;19022;18678;18332;17985;17631;17270;16925;16579;16227;15882;15544;15213
110007 CORUMBIARA;10681;10469;10273;10092;9917;9746;9580;9424;9273;9128;8987;8812;8636;8460;8280;8097;7921;7746;7567;7391;7220;7052
110008 COSTA MARQUES;9391;9968;10500;10992;11467;11932;12383;12808;13217;13612;13995;14470;14948;15427;15916;16414;16891;17369;17855;18331;18798;19255
110009 ESPIGAO D'OESTE;26232;26628;26994;27332;27658;27978;28288;28580;28860;29132;29395;29722;30050;30379;30715;31057;31385;31713;32047;32374;32695;33009
110010 GUAJARA-MIRIM;38851;39324;39759;40163;40551;40933;41302;41650;41985;42309;42622;43011;43403;43795;44196;44603;44994;45385;45783;46174;46556;46930
110011 JARU;54736;54545;54369;54206;54048;53894;53745;53604;53469;53338;53211;53054;52895;52737;52575;52410;52252;52094;51933;51775;51620;51469
110012 JI-PARANA;109063;110348;111532;112628;113685;114722;115726;116671;117582;118462;119314;120372;121436;122503;123592;124700;125762;126826;127907;128969;130009;131026
110013 MACHADINHO D'OESTE;23221;24303;25301;26225;27114;27988;28834;29630;30398;31139;31857;32749;33645;34544;35461;36395;37289;38185;39097;39991;40867;41724
110014 NOVA BRASILANDIA D'OESTE;20187;20206;20223;20238;20254;20269;20283;20297;20310;20323;20335;20350;20366;20381;20397;20413;20428;20443;20459;20474;20489;20504
110015 OURO PRETO DO OESTE;41750;41381;41041;40726;40423;40125;39837;39566;39304;39052;38807;38503;38198;37891;37579;37261;36956;36650;36340;36035;35737;35445
110018 PIMENTA BUENO;32425;32698;32950;33184;33408;33629;33843;34044;34237;34425;34606;34831;35057;35284;35516;35752;35978;36204;36434;36660;36881;37098
110020 PORTO VELHO;341748;353869;365039;375383;385349;395131;404603;413524;422114;430419;438458;448441;458477;468543;478816;489272;499293;509323;519531;529544;539354;548952
110025 PRESIDENTE MEDICI;26924;26412;25939;25502;25081;24667;24267;23890;23527;23176;22836;22414;21990;21564;21130;20688;20264;19840;19409;18986;18571;18165
110026 RIO CRESPO;2999;3048;3094;3136;3177;3216;3255;3291;3326;3360;3393;3434;3475;3516;3557;3600;3641;3682;3723;3764;3804;3843
110028 ROLIM DE MOURA;48386;48817;49214;49581;49935;50283;50619;50936;51241;51536;51822;52177;52533;52891;53256;53627;53983;54340;54702;55058;55407;55748
110029 SANTA LUZIA D'OESTE;11849;11503;11185;10890;10606;10327;10057;9803;9558;9321;9092;8807;8521;8234;7941;7643;7358;7072;6781;6495;6216;5942
110030 VILHENA;54733;57645;60329;62814;65209;67559;69835;71978;74042;76038;77969;80368;82779;85198;87666;90178;92585;94995;97448;99854;102211;104517
110032 SAO MIGUEL DO GUAPORE;21622;21711;21793;21870;21943;22015;22085;22150;22214;22275;22334;22408;22481;22555;22631;22708;22782;22856;22931;23005;23077;23147
110033 NOVA MAMORE;15091;16091;17012;17866;18688;19495;20276;21012;21721;22406;23069;23893;24720;25551;26398;27261;28088;28915;29757;30583;31392;32184
110034 ALVORADA D'OESTE;20252;19875;19528;19206;18896;18592;18297;18020;17752;17494;17244;16933;16621;16308;15989;15664;15352;15040;14722;14411;14106;13807
110037 ALTO ALEGRE DOS PARECIS;12977;12994;13010;13024;13038;13052;13065;13078;13090;13102;13113;13127;13141;13155;13170;13184;13199;13213;13227;13241;13255;13268
110040 ALTO PARAISO;13396;13914;14392;14834;15261;15679;16084;16466;16833;17188;17532;17959;18388;18819;19258;19705;20134;20563;20999;21428;21847;22258
110045 BURITIS;26212;27080;27879;28619;29333;30033;30711;31349;31964;32559;33134;33849;34567;35287;36023;36771;37488;38206;38937;39654;40356;41043
110050 NOVO HORIZONTE DO OESTE;12536;12278;12040;11820;11608;11399;11198;11008;10825;10648;10477;10264;10051;9836;9618;9395;9182;8968;8751;8538;8329;8125
110060 CACAULANDIA;5486;5534;5578;5619;5659;5697;5735;5770;5804;5837;5869;5909;5948;5988;6029;6070;6110;6150;6190;6230;6269;6307
110070 CAMPO NOVO DE RONDONIA;11706;11863;12008;12142;12271;12398;12520;12636;12747;12855;12959;13088;13218;13349;13482;13617;13747;13877;14009;14139;14266;14391
110080 CANDEIAS DO JAMARI;13385;14244;15035;15768;16475;17168;17839;18471;19080;19668;20238;20946;21657;22370;23098;23839;24549;25260;25983;26693;27388;28068
110090 CASTANHEIRAS;4301;4220;4146;4077;4011;3946;3883;3824;3767;3711;3658;3592;3525;3458;3390;3320;3254;3187;3119;3052;2987;2923
110092 CHUPINGUAIA;5638;5996;6326;6631;6925;7214;7494;7757;8010;8256;8493;8788;9084;9381;9684;9993;10289;10585;10886;11182;11472;11755
110094 CUJUBIM;6674;7871;8973;9995;10979;11944;12880;13760;14608;15428;16222;17208;18198;19192;20207;21239;22228;23218;24226;25215;26183;27131
110100 GOVERNADOR JORGE TEIXEIRA;13930;13532;13166;12826;12499;12178;11867;11574;11292;11020;10756;10428;10099;9769;9431;9088;8759;8430;8095;7767;7445;7130
110110 ITAPUA DO OESTE;6967;7192;7400;7592;7778;7960;8136;8301;8461;8616;8765;8951;9137;9324;9515;9710;9896;10082;10272;10458;10641;10819
110120 MINISTRO ANDREAZZA;11582;11458;11344;11238;11136;11036;10939;10847;10759;10674;10592;10490;10387;10284;10179;10072;9969;9867;9762;9660;9559;9461
110130 MIRANTE DA SERRA;13433;13273;13125;12988;12856;12726;12601;12483;12369;12259;12153;12021;11888;11755;11619;11480;11348;11215;11080;10947;10818;10691
110140 MONTE NEGRO;12895;13086;13262;13425;13582;13736;13885;14025;14161;14291;14418;14575;14733;14892;15054;15218;15376;15534;15695;15852;16007;16158
110143 NOVA UNIAO;8407;8314;8229;8150;8073;7999;7926;7858;7792;7728;7667;7591;7514;7437;7358;7278;7202;7125;7047;6970;6895;6822
110145 PARECIS;3699;3852;3994;4124;4250;4374;4494;4607;4715;4820;4922;5048;5175;5302;5432;5565;5691;5818;5947;6074;6198;6319
110146 PIMENTEIRAS DO OESTE;2581;2554;2530;2507;2485;2464;2443;2424;2405;2387;2369;2347;2325;2303;2281;2258;2236;2214;2191;2169;2148;2127
